index,movie_name,year_of_release,category,run_time,genre,imdb_rating,votes,gross_total,seen
1,The Godfather,-1972,R,175 min,"Crime, Drama",9.2,"1,860,471",$134.97M,Yes
2,The Silence of the Lambs,-1991,R,118 min,"Crime, Drama, Thriller",8.6,"1,435,344",$130.74M,Yes
3,Star Wars: Episode V - The Empire Strikes Back,-1980,PG,124 min,"Action, Adventure, Fantasy",8.7,"1,294,805",$290.48M,Yes
4,The Shawshank Redemption,-1994,R,142 min,Drama,9.3,"2,683,302",$28.34M,No
5,The Shining,-1980,R,146 min,"Drama, Horror",8.4,"1,025,560",$44.02M,Yes
6,Casablanca,-1942,PG,102 min,"Drama, Romance, War",8.5,"574,092",$1.02M,Yes
7,One Flew Over the Cuckoo's Nest,-1975,R,133 min,Drama,8.7,"1,010,102",$112.00M,Yes
8,Indiana Jones and the Raiders of the Lost Ark,-1981,PG,115 min,"Action, Adventure",8.4,"969,143",$248.16M,Yes
9,The Lord of the Rings: The Return of the King,-2003,PG-13,201 min,"Action, Adventure, Drama",9,"1,849,082",$377.85M,Yes
10,Star Wars: Episode IV - A New Hope,-1977,PG,121 min,"Action, Adventure, Fantasy",8.6,"1,367,430",$322.74M,Yes
11,The Dark Knight,-2008,PG-13,152 min,"Action, Crime, Drama",9,"2,656,768",$534.86M,Yes
12,The Godfather: Part II,-1974,R,202 min,"Crime, Drama",9,"1,273,349",$57.30M,Yes
13,Aliens,-1986,R,137 min,"Action, Adventure, Sci-Fi",8.4,"720,623",$85.16M,Yes
14,Schindler's List,-1993,R,195 min,"Biography, Drama, History",9,"1,357,621",$96.90M,Yes
15,Inception,-2010,PG-13,148 min,"Action, Adventure, Sci-Fi",8.8,"2,356,293",$292.58M,Yes
16,The Lord of the Rings: The Fellowship of the Ring,-2001,PG-13,178 min,"Action, Adventure, Drama",8.8,"1,878,557",$315.54M,Yes
17,Alien,-1979,R,117 min,"Horror, Sci-Fi",8.5,"885,635",$78.90M,Yes
18,Some Like It Hot,-1959,Passed,121 min,"Comedy, Music, Romance",8.2,"269,346",$25.00M,No
19,Blade Runner,-1982,R,117 min,"Action, Drama, Sci-Fi",8.1,"773,425",$32.87M,Yes
20,Se7en,-1995,R,127 min,"Crime, Drama, Mystery",8.6,"1,655,745",$100.13M,Yes
21,Apocalypse Now,-1979,R,147 min,"Drama, Mystery, War",8.5,"669,994",$83.47M,Yes
22,12 Angry Men,-1957,Approved,96 min,"Crime, Drama",9,"792,729",$4.36M,Yes
23,The Lord of the Rings: The Two Towers,-2002,PG-13,179 min,"Action, Adventure, Drama",8.8,"1,669,715",$342.55M,Yes
24,Terminator 2: Judgment Day,-1991,R,137 min,"Action, Sci-Fi",8.6,"1,101,850",$204.84M,No
25,Star Wars: Episode VI - Return of the Jedi,-1983,PG,131 min,"Action, Adventure, Fantasy",8.3,"1,056,750",$309.13M,Yes
26,Die Hard,-1988,R,132 min,"Action, Thriller",8.2,"887,967",$83.01M,Yes
